"","location.quotient.avg(mat)"
"AGUASCALIENTES",1.2220756487016
"BAJA CALIFORNIA",1.50370161518283
"BAJA CALIFORNIA SUR",1.87003492567019
"CAMPECHE",1.89582609606317
"CHIAPAS",2.71072511021827
"CHIHUAHUA",1.84206183015906
"CIUDAD DE MEXICO",3.120576672823
"COAHUILA",1.88122822872092
"COLIMA",1.98518480753095
"DURANGO",1.64355869440749
"GUANAJUATO",2.19024882742488
"GUERRERO",1.57246349856974
"HIDALGO",1.54135783857674
"JALISCO",1.28620704954228
"MEXICO",2.21704834885893
"MICHOACAN",1.18719610865462
"MORELOS",3.08141154998069
"NAYARIT",1.1454907944137
"NUEVO LEON",2.27120433046473
"OAXACA",1.15622106331251
"PUEBLA",1.62462135592394
"QUERETARO",2.05885764326866
"QUINTANA ROO",1.82608620250346
"SAN LUIS POTOSI",1.53826361973491
"SINALOA",1.81048205056315
"SONORA",1.68801932604305
"TABASCO",1.52515135520031
"TAMAULIPAS",1.12448319434406
"TLAXCALA",1.50631972340935
"VERACRUZ",1.14101850603034
"YUCATAN",1.15045985573164
"ZACATECAS",1.22653014392845
