"","entropy(mat)"
"AGUASCALIENTES",2.797
"BAJA CALIFORNIA",3.283
"BAJA CALIFORNIA SUR",1.264
"CAMPECHE",1.182
"CHIAPAS",2.575
"CHIHUAHUA",3.41
"CIUDAD DE MEXICO",3.523
"COAHUILA",3.155
"COLIMA",2.662
"DURANGO",2.696
"GUANAJUATO",2.044
"GUERRERO",1.655
"HIDALGO",3.256
"JALISCO",2.607
"MEXICO",3.594
"MICHOACAN",2.566
"MORELOS",2.972
"NAYARIT",2.386
"NUEVO LEON",2.775
"OAXACA",2.574
"PUEBLA",3.248
"QUERETARO",2.363
"QUINTANA ROO",3.294
"SAN LUIS POTOSI",2.828
"SINALOA",1.329
"SONORA",1.536
"TABASCO",1.938
"TAMAULIPAS",3.013
"TLAXCALA",2.719
"VERACRUZ",2.466
"YUCATAN",2.919
"ZACATECAS",2.543
