"","Herfindahl(mat)"
"AGUASCALIENTES",0.192177777777778
"BAJA CALIFORNIA",0.147600704709009
"BAJA CALIFORNIA SUR",0.670781186604663
"CAMPECHE",0.690308785424199
"CHIAPAS",0.245645151551745
"CHIHUAHUA",0.108117976388494
"CIUDAD DE MEXICO",0.102200568257661
"COAHUILA",0.145957193816885
"COLIMA",0.22521732778143
"DURANGO",0.247761552791299
"GUANAJUATO",0.444156290521645
"GUERRERO",0.547036016732986
"HIDALGO",0.134195011337868
"JALISCO",0.260624426078972
"MEXICO",0.100081233285567
"MICHOACAN",0.256796640939111
"MORELOS",0.184157130103076
"NAYARIT",0.282806396484375
"NUEVO LEON",0.245639432243486
"OAXACA",0.251849489795918
"PUEBLA",0.154886526860098
"QUERETARO",0.368329883589495
"QUINTANA ROO",0.121354326564624
"SAN LUIS POTOSI",0.240432098765432
"SINALOA",0.653994487932446
"SONORA",0.589241397351654
"TABASCO",0.438896193490788
"TAMAULIPAS",0.177208030917146
"TLAXCALA",0.192148760330579
"VERACRUZ",0.300973073866847
"YUCATAN",0.198350662738127
"ZACATECAS",0.241387292156938
