"","Industry","Loc.Gini"
"1","SECTOR 11",0.203597584699517
"2","SECTOR 21",0.347445756485707
"3","SECTOR 22",0.474279613081998
"4","SECTOR 23",0.444809528046471
"5","SECTOR 31-33",0.17630110758503
"6","SECTOR 43",0.161729318712352
"7","SECTOR 46",0.160923551175965
"8","SECTOR 48-49",0.255942705914257
"9","SECTOR 51",0.35270359589694
"10","SECTOR 52",0.239406623843836
"11","SECTOR 53",0.288612125530039
"12","SECTOR 54",0.220238902689065
"13","SECTOR 55",NA
"14","SECTOR 56",0.230958299803516
"15","SECTOR 61",0.295888825117404
"16","SECTOR 62",0.299704058461026
"17","SECTOR 71",0.210582076587142
"18","SECTOR 72",0.183589248524304
"19","SECTOR 81",0.13632294807771
