state,sec,Count
AGUASCALIENTES,SECTOR 11,23
AGUASCALIENTES,SECTOR 21,1
AGUASCALIENTES,SECTOR 22,0
AGUASCALIENTES,SECTOR 23,0
AGUASCALIENTES,SECTOR 31-33,6
AGUASCALIENTES,SECTOR 43,6
AGUASCALIENTES,SECTOR 46,2
AGUASCALIENTES,SECTOR 48-49,6
AGUASCALIENTES,SECTOR 51,0
AGUASCALIENTES,SECTOR 52,20
AGUASCALIENTES,SECTOR 53,0
AGUASCALIENTES,SECTOR 54,3
AGUASCALIENTES,SECTOR 55,0
AGUASCALIENTES,SECTOR 56,1
AGUASCALIENTES,SECTOR 61,0
AGUASCALIENTES,SECTOR 62,0
AGUASCALIENTES,SECTOR 71,0
AGUASCALIENTES,SECTOR 72,5
AGUASCALIENTES,SECTOR 81,2
BAJA CALIFORNIA,SECTOR 11,57
BAJA CALIFORNIA,SECTOR 21,2
BAJA CALIFORNIA,SECTOR 22,1
BAJA CALIFORNIA,SECTOR 23,0
BAJA CALIFORNIA,SECTOR 31-33,14
BAJA CALIFORNIA,SECTOR 43,14
BAJA CALIFORNIA,SECTOR 46,24
BAJA CALIFORNIA,SECTOR 48-49,15
BAJA CALIFORNIA,SECTOR 51,0
BAJA CALIFORNIA,SECTOR 52,4
BAJA CALIFORNIA,SECTOR 53,2
BAJA CALIFORNIA,SECTOR 54,10
BAJA CALIFORNIA,SECTOR 55,0
BAJA CALIFORNIA,SECTOR 56,8
BAJA CALIFORNIA,SECTOR 61,3
BAJA CALIFORNIA,SECTOR 62,3
BAJA CALIFORNIA,SECTOR 71,2
BAJA CALIFORNIA,SECTOR 72,11
BAJA CALIFORNIA,SECTOR 81,13
BAJA CALIFORNIA SUR,SECTOR 11,292
BAJA CALIFORNIA SUR,SECTOR 21,2
BAJA CALIFORNIA SUR,SECTOR 22,0
BAJA CALIFORNIA SUR,SECTOR 23,0
BAJA CALIFORNIA SUR,SECTOR 31-33,6
BAJA CALIFORNIA SUR,SECTOR 43,5
BAJA CALIFORNIA SUR,SECTOR 46,8
BAJA CALIFORNIA SUR,SECTOR 48-49,22
BAJA CALIFORNIA SUR,SECTOR 51,0
BAJA CALIFORNIA SUR,SECTOR 52,1
BAJA CALIFORNIA SUR,SECTOR 53,2
BAJA CALIFORNIA SUR,SECTOR 54,3
BAJA CALIFORNIA SUR,SECTOR 56,4
BAJA CALIFORNIA SUR,SECTOR 61,0
BAJA CALIFORNIA SUR,SECTOR 62,1
BAJA CALIFORNIA SUR,SECTOR 71,1
BAJA CALIFORNIA SUR,SECTOR 72,5
BAJA CALIFORNIA SUR,SECTOR 81,6
CAMPECHE,SECTOR 11,304
CAMPECHE,SECTOR 21,0
CAMPECHE,SECTOR 22,0
CAMPECHE,SECTOR 23,0
CAMPECHE,SECTOR 31-33,8
CAMPECHE,SECTOR 43,6
CAMPECHE,SECTOR 46,12
CAMPECHE,SECTOR 48-49,4
CAMPECHE,SECTOR 51,0
CAMPECHE,SECTOR 52,10
CAMPECHE,SECTOR 53,1
CAMPECHE,SECTOR 54,1
CAMPECHE,SECTOR 55,0
CAMPECHE,SECTOR 56,0
CAMPECHE,SECTOR 61,0
CAMPECHE,SECTOR 62,1
CAMPECHE,SECTOR 71,2
CAMPECHE,SECTOR 72,5
CAMPECHE,SECTOR 81,13
COAHUILA,SECTOR 11,6
COAHUILA,SECTOR 21,0
COAHUILA,SECTOR 22,1
COAHUILA,SECTOR 23,0
COAHUILA,SECTOR 31-33,16
COAHUILA,SECTOR 43,7
COAHUILA,SECTOR 46,17
COAHUILA,SECTOR 48-49,8
COAHUILA,SECTOR 51,0
COAHUILA,SECTOR 52,33
COAHUILA,SECTOR 53,0
COAHUILA,SECTOR 54,1
COAHUILA,SECTOR 55,0
COAHUILA,SECTOR 56,7
COAHUILA,SECTOR 61,3
COAHUILA,SECTOR 62,2
COAHUILA,SECTOR 71,0
COAHUILA,SECTOR 72,6
COAHUILA,SECTOR 81,9
COLIMA,SECTOR 11,41
COLIMA,SECTOR 21,9
COLIMA,SECTOR 22,0
COLIMA,SECTOR 23,0
COLIMA,SECTOR 31-33,2
COLIMA,SECTOR 43,4
COLIMA,SECTOR 46,2
COLIMA,SECTOR 48-49,13
COLIMA,SECTOR 51,1
COLIMA,SECTOR 52,33
COLIMA,SECTOR 53,1
