"","SECTOR 11","SECTOR 21","SECTOR 22","SECTOR 23","SECTOR 31-33","SECTOR 43","SECTOR 46","SECTOR 48-49","SECTOR 51","SECTOR 52","SECTOR 53","SECTOR 54","SECTOR 55","SECTOR 56","SECTOR 61","SECTOR 62","SECTOR 71","SECTOR 72","SECTOR 81"
"SECTOR 11",0,0,0.0425628265379374,0,0,0.0248451997499977,0,0.0340206908719886,0.0331133089266261,0.0276500631804666,0,0,0,0,0.0536056267418897,0.0277777777777778,0.0271562723296784,0.0259237923682606,0.0495073771488337
"SECTOR 21",0,0,0.0152074766168118,0.0343807082086264,0.0687614164172529,0.0621394248173192,0.0690014220908378,0.0729324957489473,0.0709872786420452,0.0889130142722007,0.0480902635728771,0.078673725764866,0,0.0572129567690623,0.0383060234254046,0.0496242778479511,0.0582167694269919,0.0555746173353429,0.0619105495467572
"SECTOR 22",0.0425628265379374,0.0152074766168118,0,0,0.049147318718299,0.0507591325084587,0.0493188631097394,0.0173762011714229,0.0169127522872935,0.0423671343448755,0.0274980666101598,0.0281160778557767,0,0.0408930410054765,0.0547585678193394,0.0567504353839166,0.0554806900120844,0.0529627141332376,0.0505721737424174
"SECTOR 23",0,0.0343807082086264,0,0,0.0555555555555556,0.0430331482911935,0.0418121005003545,0.0392837100659193,0.0382359556450936,0.0638550856814101,0.0466252404120157,0.0317820863081864,0,0.0154083387840341,0.046423834544263,0.0160375074774896,0.0313573622794532,0.0299342170044625,0.0285830975237515
"SECTOR 31-33",0,0.0687614164172529,0.049147318718299,0.0555555555555556,0,0.0860662965823871,0.0905928844174348,0.0687464926153588,0.047794944556367,0.0798188571017626,0.0932504808240314,0.079455215770466,0,0.0770416939201707,0.0773730575737716,0.0641500299099584,0.0627147245589065,0.0823190967622718,0.0857492925712544
"SECTOR 43",0.0248451997499977,0.0621394248173192,0.0507591325084587,0.0430331482911935,0.0860662965823871,0,0.0863667034175061,0.0507150516208487,0.0592348877759092,0.0824365611382497,0.0642057883124102,0.0656487951889775,0,0.0716114874039433,0.0879016052723204,0.0662538659999938,0.072867925133589,0.0850187975560309,0.0811813645078421
"SECTOR 46",0,0.0690014220908378,0.0493188631097394,0.0418121005003545,0.0905928844174348,0.0863667034175061,0,0.0591312395989083,0.0575541223257511,0.0640779662392768,0.0779799695184157,0.0717592924887569,0,0.0850416612911641,0.0698788092807559,0.0804674249308779,0.0786670309832715,0.0901160992648805,0.0860485929317663
"SECTOR 48-49",0.0340206908719886,0.0729324957489473,0.0173762011714229,0.0392837100659193,0.0687464926153588,0.0507150516208487,0.0591312395989083,0,0.0270369035217938,0.0451523640985731,0.0439586982263858,0.0674199862463242,0,0.0544767042050511,0.0437688109532409,0.0340206908719886,0.033259505261887,0.0529167195834127,0.0808452083454443
"SECTOR 51",0.0331133089266261,0.0709872786420452,0.0169127522872935,0.0382359556450936,0.047794944556367,0.0592348877759092,0.0575541223257511,0.0270369035217938,0,0.0549351050361311,0.0534828187300698,0.0546848299074759,0,0.0636284762975778,0.0426014322842305,0.0551888482110435,0.0647448505162725,0.0515053527143956,0.0590167106523475
"SECTOR 52",0.0276500631804666,0.0889130142722007,0.0423671343448755,0.0638550856814101,0.0798188571017626,0.0824365611382497,0.0640779662392768,0.0451523640985731,0.0549351050361311,0,0.0625224331499377,0.0730601223963557,0,0.0531306428361855,0.0622523565821539,0.0553001263609331,0.0720837739835101,0.0516092037738986,0.0574930484547064
"SECTOR 53",0,0.0480902635728771,0.0274980666101598,0.0466252404120157,0.0932504808240314,0.0642057883124102,0.0779799695184157,0.0439586982263858,0.0534828187300698,0.0625224331499377,0,0.0800197604053897,0,0.0775890900167808,0.0692647182871648,0.062811221906786,0.0701781386383766,0.0753672634764396,0.0719654648633102
"SECTOR 54",0,0.078673725764866,0.0281160778557767,0.0317820863081864,0.079455215770466,0.0656487951889775,0.0717592924887569,0.0674199862463242,0.0546848299074759,0.0730601223963557,0.0800197604053897,0,0,0.0705181180463927,0.0531160673847383,0.0642228862990377,0.0538165292955832,0.0770611213407084,0.0572311197646762
"SECTOR 55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SECTOR 56",0,0.0572129567690623,0.0408930410054765,0.0154083387840341,0.0770416939201707,0.0716114874039433,0.0850416612911641,0.0544767042050511,0.0636284762975778,0.0531306428361855,0.0775890900167808,0.0705181180463927,0,0,0.0686701603499473,0.0711680683578165,0.0695757400380732,0.0747203222080077,0.079275249025749
"SECTOR 61",0.0536056267418897,0.0383060234254046,0.0547585678193394,0.046423834544263,0.0773730575737716,0.0879016052723204,0.0698788092807559,0.0437688109532409,0.0426014322842305,0.0622523565821539,0.0692647182871648,0.0531160673847383,0,0.0686701603499473,0,0.0804084401128346,0.0698749919138808,0.066703734596507,0.0875778413535413
"SECTOR 62",0.0277777777777778,0.0496242778479511,0.0567504353839166,0.0160375074774896,0.0641500299099584,0.0662538659999938,0.0804674249308779,0.0340206908719886,0.0551888482110435,0.0553001263609331,0.062811221906786,0.0642228862990377,0,0.0711680683578165,0.0804084401128346,0,0.0724167262124758,0.0691301129820284,0.0825122952480562
"SECTOR 71",0.0271562723296784,0.0582167694269919,0.0554806900120844,0.0313573622794532,0.0627147245589065,0.072867925133589,0.0786670309832715,0.033259505261887,0.0647448505162725,0.0720837739835101,0.0701781386383766,0.0538165292955832,0,0.0695757400380732,0.0698749919138808,0.0724167262124758,0,0.0760313050600167,0.0725995340738186
"SECTOR 72",0.0259237923682606,0.0555746173353429,0.0529627141332376,0.0299342170044625,0.0823190967622718,0.0850187975560309,0.0901160992648805,0.0529167195834127,0.0515053527143956,0.0516092037738986,0.0753672634764396,0.0770611213407084,0,0.0747203222080077,0.066703734596507,0.0691301129820284,0.0760313050600167,0,0.069304624158791
"SECTOR 81",0.0495073771488337,0.0619105495467572,0.0505721737424174,0.0285830975237515,0.0857492925712544,0.0811813645078421,0.0860485929317663,0.0808452083454443,0.0590167106523475,0.0574930484547064,0.0719654648633102,0.0572311197646762,0,0.079275249025749,0.0875778413535413,0.0825122952480562,0.0725995340738186,0.069304624158791,0
