"","SECTOR 11","SECTOR 21","SECTOR 22","SECTOR 23","SECTOR 31-33","SECTOR 43","SECTOR 46","SECTOR 48-49","SECTOR 51","SECTOR 52","SECTOR 53","SECTOR 54","SECTOR 55","SECTOR 56","SECTOR 61","SECTOR 62","SECTOR 71","SECTOR 72","SECTOR 81"
"SECTOR 11",0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1
"SECTOR 21",0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"SECTOR 22",1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
"SECTOR 23",0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
"SECTOR 31-33",0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1
"SECTOR 43",1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1
"SECTOR 46",0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
"SECTOR 48-49",1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"SECTOR 51",1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
"SECTOR 52",1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"SECTOR 53",0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
"SECTOR 54",0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"SECTOR 55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SECTOR 56",0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1
"SECTOR 61",1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1
"SECTOR 62",1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1
"SECTOR 71",1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0
"SECTOR 72",1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0
"SECTOR 81",1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
